customer_id,signup_date
1,2020-10-15
2,2020-03-03
3,2022-01-13
4,2021-07-05
5,2020-10-25
6,2020-12-08
7,2021-08-10
8,2021-07-31
9,2020-07-07
10,2021-05-26
11,2021-06-23
12,2021-03-08
13,2020-06-04
14,2022-09-12
15,2020-06-26
16,2021-10-11
17,2020-10-02
18,2020-07-08
19,2020-12-10
20,2020-06-14
21,2022-05-16
22,2021-01-25
23,2022-06-07
24,2021-05-05
25,2020-11-17
26,2022-05-01
27,2020-12-19
28,2020-10-30
29,2022-05-10
30,2021-02-25
31,2021-06-20
32,2020-09-27
33,2022-08-05
34,2021-05-11
35,2022-09-26
36,2021-01-26
37,2021-03-04
38,2021-10-20
39,2021-11-02
40,2020-09-28
41,2020-09-02
42,2021-07-24
43,2022-01-06
44,2022-08-21
45,2021-09-24
46,2022-07-21
47,2021-12-11
48,2021-09-23
49,2021-02-05
50,2021-04-21
51,2020-07-02
52,2021-01-13
53,2021-01-30
54,2020-07-30
55,2020-08-25
56,2022-06-04
57,2022-06-13
58,2021-10-25
59,2020-04-25
60,2021-09-19
61,2020-08-10
62,2022-03-30
63,2022-05-30
64,2022-01-26
65,2022-07-15
66,2020-07-12
67,2020-01-18
68,2020-04-14
69,2021-04-29
70,2021-09-30
71,2021-08-28
72,2020-08-06
73,2020-09-03
74,2020-04-25
75,2020-11-03
76,2021-05-01
77,2020-08-11
78,2020-02-10
79,2020-12-17
80,2021-01-21
81,2020-02-21
82,2021-03-28
83,2021-05-07
84,2022-09-15
85,2020-08-31
86,2020-09-10
87,2022-08-31
88,2021-01-08
89,2020-02-18
90,2021-03-14
91,2020-02-18
92,2022-05-19
93,2020-07-24
94,2020-11-21
95,2022-04-02
96,2020-07-22
97,2020-04-05
98,2021-08-10
99,2021-04-07
100,2021-10-04
101,2022-04-15
102,2020-05-18
103,2021-03-01
104,2021-10-06
105,2020-10-29
106,2020-12-20
107,2021-04-24
108,2020-08-18
109,2022-02-19
110,2022-07-21
111,2022-07-07
112,2022-05-16
113,2022-06-01
114,2021-04-03
115,2020-06-30
116,2022-02-08
117,2020-10-10
118,2020-05-07
119,2020-03-28
120,2020-09-25
121,2020-07-25
122,2020-06-06
123,2020-08-29
