customer_id,purchase_date,amount
4,2022-08-19,826.2983938306731
4,2022-06-03,916.1294945055265
4,2022-02-06,856.6451066524269
12,2022-08-10,522.9252880672309
12,2023-01-14,550.805684821436
12,2021-08-29,529.5242907279465
12,2022-12-15,556.1372024690326
12,2022-07-29,588.2795979181092
12,2022-12-11,411.29832439594156
12,2021-11-02,445.06983237540675
12,2022-09-17,592.4345731738706
13,2022-10-31,852.651997732245
13,2022-08-15,705.5166478247363
13,2021-10-29,743.6473812376825
13,2022-11-10,889.2995164990887
13,2021-09-09,900.1990318076282
15,2022-08-22,729.6209617856354
15,2022-05-08,822.5270977171205
15,2023-02-18,957.7745334627951
15,2022-09-06,908.7981675142441
15,2022-07-16,815.0683502389855
24,2021-11-06,837.2340264107758
24,2022-10-09,671.0736634313937
24,2021-08-18,769.2842110882183
24,2022-08-11,711.8687564251175
24,2022-06-09,872.4586271981751
25,2022-01-17,929.312483706857
32,2023-05-04,1172.8556815133932
32,2022-04-11,1230.8918861409193
32,2022-05-22,1134.4881636911764
32,2023-03-20,1028.368817869448
32,2023-04-23,1038.7677435521366
32,2023-02-17,1066.0748862508085
32,2022-10-19,966.3013045207878
32,2023-09-21,1350.691912315382
32,2023-04-07,1129.1797659920512
38,2023-11-09,457.0933145380236
38,2024-04-19,418.60165445435194
38,2024-03-11,546.1665385442047
38,2022-09-30,424.50593861637117
39,2022-07-15,497.2924588753934
39,2024-01-26,499.2185333171491
39,2024-02-07,595.3541187220712
39,2023-12-19,430.4039912045795
39,2023-04-02,458.0403861549952
39,2022-10-22,585.6106347600695
39,2022-06-23,540.5117596169247
40,2023-12-07,1102.287685087891
40,2023-02-15,1024.508060334047
40,2024-04-05,1128.8368650597215
40,2023-09-21,1001.6474010817053
40,2023-12-08,1415.2940637578085
40,2024-06-01,1080.8558075423323
40,2024-06-01,1412.4892444658196
40,2023-04-19,1030.0366830442454
45,2021-07-28,1334.6892804158438
45,2021-12-31,1108.3640185880781
47,2021-04-12,415.2072227263595
47,2021-02-28,429.8432575100432
47,2021-03-27,481.4763424057893
50,2022-11-13,413.0713281119999
50,2022-07-21,400.7644916492523
50,2022-11-24,509.8600274851137
50,2021-12-23,494.160411994111
53,2022-09-22,656.859963554273
53,2023-08-08,934.7521313453641
53,2023-05-28,764.1296402876251
53,2022-10-09,721.2465777185932
53,2023-03-08,763.2545145175065
53,2023-05-03,786.9105984927585
55,2023-03-28,1221.5172737275147
55,2022-10-25,1256.1050894367443
